name,cover,detail_url
补历代史表,https://a.dushu.com/img/n142.png,/guoxue/108270/
萧氏续后汉书,https://a.dushu.com/img/n142.png,/guoxue/108269/
史记四库,https://a.dushu.com/img/n142.png,/guoxue/102318/
前汉书,https://a.dushu.com/img/n142.png,/guoxue/102317/
三国志补注,https://a.dushu.com/img/n142.png,/guoxue/102316/
革除遗事,https://a.dushu.com/img/n142.png,/guoxue/102315/
钱塘遗事,https://a.dushu.com/img/n142.png,/guoxue/102314/
辽纪,https://a.dushu.com/img/n142.png,/guoxue/102313/
贞陵遗事,https://a.dushu.com/img/n142.png,/guoxue/102312/
骈志,https://a.dushu.com/img/n142.png,/guoxue/103424/
韵府群玉,https://a.dushu.com/img/n142.png,/guoxue/103423/
锦绣万花谷,https://a.dushu.com/img/n142.png,/guoxue/103422/
读书纪数略,https://a.dushu.com/img/n142.png,/guoxue/103421/
说略,https://a.dushu.com/img/n142.png,/guoxue/103420/
记纂渊海,https://a.dushu.com/img/n142.png,/guoxue/103419/
职官分纪,https://a.dushu.com/img/n142.png,/guoxue/103418/
翰苑新书,https://a.dushu.com/img/n142.png,/guoxue/103417/
群书考索,https://a.dushu.com/img/n142.png,/guoxue/103416/
元朝秘史,https://a.dushu.com/img/n142.png,/guoxue/102038/
春秋战国异辞,https://a.dushu.com/img/n142.png,/guoxue/108268/
春秋别典,https://a.dushu.com/img/n142.png,/guoxue/108267/
御定历代纪事年表,https://a.dushu.com/img/n142.png,/guoxue/108266/
尚史,https://a.dushu.com/img/n142.png,/guoxue/108265/
后汉书补逸,https://a.dushu.com/img/n142.png,/guoxue/108264/
翰苑遗事,https://a.dushu.com/img/n142.png,/guoxue/102311/
燕翼诒谋录,https://a.dushu.com/img/n142.png,/guoxue/102310/
渚宫旧事,https://a.dushu.com/img/n142.png,/guoxue/102309/
汝南遗事,https://a.dushu.com/img/n142.png,/guoxue/102308/
旧京遗事,https://a.dushu.com/img/n142.png,/guoxue/102307/
弇山堂别集,https://a.dushu.com/img/n142.png,/guoxue/102306/
庚申君遗事,https://a.dushu.com/img/n142.png,/guoxue/102305/
群书会元截江网,https://a.dushu.com/img/n142.png,/guoxue/103415/
编珠,https://a.dushu.com/img/n142.png,/guoxue/103414/
经济类编,https://a.dushu.com/img/n142.png,/guoxue/103413/
稗编,https://a.dushu.com/img/n142.png,/guoxue/103412/
白孔六帖,https://a.dushu.com/img/n142.png,/guoxue/103411/
玉海,https://a.dushu.com/img/n142.png,/guoxue/103410/
乙酉扬州城守纪略,https://a.dushu.com/img/n142.png,/guoxue/102037/
扬州十日记,https://a.dushu.com/img/n142.png,/guoxue/102036/
江阴城守纪,https://a.dushu.com/img/n142.png,/guoxue/102035/
张文襄公事略,https://a.dushu.com/img/n142.png,/guoxue/102034/
云中事记,https://a.dushu.com/img/n142.png,/guoxue/102033/
云中纪变,https://a.dushu.com/img/n142.png,/guoxue/102032/
古史,https://a.dushu.com/img/n142.png,/guoxue/108263/
古今纪要,https://a.dushu.com/img/n142.png,/guoxue/108262/
东都事略,https://a.dushu.com/img/n142.png,/guoxue/108261/
雪屐寻碑录,https://a.dushu.com/img/n142.png,/guoxue/108260/
隆平集,https://a.dushu.com/img/n142.png,/guoxue/108259/
银雀山汉墓竹简,https://a.dushu.com/img/n142.png,/guoxue/108258/
金声巧联,https://a.dushu.com/img/n142.png,/guoxue/104332/
时古对类,https://a.dushu.com/img/n142.png,/guoxue/104331/
平汉录,https://a.dushu.com/img/n142.png,/guoxue/102304/
太平治迹统类,https://a.dushu.com/img/n142.png,/guoxue/102303/
北狩见闻录,https://a.dushu.com/img/n142.png,/guoxue/102302/
新史学,https://a.dushu.com/img/n142.png,/guoxue/108224/
闽都记,https://a.dushu.com/img/n142.png,/guoxue/124164/
靖康要录,https://a.dushu.com/img/n142.png,/guoxue/101967/
通鉴释文辨误,https://a.dushu.com/img/n142.png,/guoxue/101966/
海录碎事,https://a.dushu.com/img/n142.png,/guoxue/103409/
氏族大全,https://a.dushu.com/img/n142.png,/guoxue/103408/
格致镜原,https://a.dushu.com/img/n142.png,/guoxue/103407/
御定骈字类编,https://a.dushu.com/img/n142.png,/guoxue/103406/
御定韵府拾遗,https://a.dushu.com/img/n142.png,/guoxue/103405/
